DRG Definition,Provider State, Average Covered Charges ,Average Medicare Payments
316 - FEVER,CA,33368.79282716094,6740.199082151536
317 - BACK PAIN,VT,18181.63415314053,6693.513066575097
317 - BACK PAIN,ID,21809.3133341433,6468.076016813562
315 - HEADACHE,WA,35148.64658434955,8622.45654258827
317 - BACK PAIN,AZ,8239.136830849477,14870.150799213998
316 - FEVER,IL,16550.62662426186,13665.441200594609
317 - BACK PAIN,AZ,37125.54200284691,6935.394819857834
315 - HEADACHE,UT,26600.83294300794,8074.441388761652
315 - HEADACHE,NV,23107.710416649355,11033.768956631176
316 - FEVER,AZ,11815.593008018652,3205.8201683593693
314 - ABDOMINAL PAIN,AK,24883.206551497966,12841.843904227773
314 - ABDOMINAL PAIN,AZ,39681.13868421053,13557.576687743034
317 - BACK PAIN,KY,16880.578073235185,13286.404011894409
313 - CHEST PAIN,AK,5242.934398265484,7500.652642626434
317 - BACK PAIN,NM,35082.72055179423,8543.994088370499
316 - FEVER,MA,48768.19719946486,3148.65986284507
316 - FEVER,SC,32307.19536148623,7792.744176522609
316 - FEVER,NH,10396.483651720857,8525.121868399217
316 - FEVER,MT,19432.989155510288,13883.691516821744
316 - FEVER,NC,44043.87266241005,13727.852085086968
315 - HEADACHE,HI,15465.563341557287,14593.164769054914
314 - ABDOMINAL PAIN,UT,32346.315657392362,13621.259821086245
316 - FEVER,TN,23120.204371429903,3098.4085131317474
313 - CHEST PAIN,OH,14352.967463884206,10697.530227986637
313 - CHEST PAIN,IN,41603.310210410586,3818.8521972364897
313 - CHEST PAIN,TX,38427.40744095606,6271.131436559825
313 - CHEST PAIN,UT,34771.59796816694,9939.691553646964
315 - HEADACHE,WI,15635.146562093803,11407.365820890467
313 - CHEST PAIN,RI,9403.565122240252,10855.584311005143
316 - FEVER,KY,30927.169842168478,3588.7004089037187
317 - BACK PAIN,WA,29915.5025092745,4243.246434834624
313 - CHEST PAIN,MN,13477.325420069286,4543.041755175281
315 - HEADACHE,MA,7531.1012441827625,4096.972521236294
315 - HEADACHE,CA,8631.88043872937,5138.813079231867
313 - CHEST PAIN,VT,49674.69439307302,11261.853495738713
317 - BACK PAIN,NV,40261.275263429765,12970.047013909834
313 - CHEST PAIN,TX,46489.436418432764,7905.766680880924
315 - HEADACHE,KY,13777.46250063635,11313.378077140123
314 - ABDOMINAL PAIN,OK,48225.58413455458,5400.195135189918
316 - FEVER,NC,11419.445816292293,14679.361819600897
315 - HEADACHE,NE,27908.6822854912,7199.97027429142
313 - CHEST PAIN,MT,42336.30579876788,13150.402874458021
316 - FEVER,AK,20741.150953021075,14344.396471552645
313 - CHEST PAIN,IL,24117.28399296052,13376.567554503627
313 - CHEST PAIN,TN,10768.329963459404,3804.811818483467
314 - ABDOMINAL PAIN,GA,10531.484599953774,10803.685887687072
316 - FEVER,IL,32880.57011503968,4441.0884788586145
316 - FEVER,NE,35398.956587902554,3067.9560063095605
314 - ABDOMINAL PAIN,GA,39979.9631336987,3621.4013273168093
315 - HEADACHE,HI,30050.69237067891,13993.790357364687
313 - CHEST PAIN,NC,34059.168151758764,13901.562171124724
317 - BACK PAIN,OK,5608.277226487403,5709.892653168406
313 - CHEST PAIN,WY,12297.682721173464,9564.734577583515
313 - CHEST PAIN,MA,49321.16447076071,14460.339147191115
315 - HEADACHE,SD,8419.70778421243,8960.47355636115
313 - CHEST PAIN,AK,35545.47000171102,7722.933841749095
314 - ABDOMINAL PAIN,AL,12923.718486427231,8798.984328535495
314 - ABDOMINAL PAIN,PA,37252.336359543886,12482.58913862333
316 - FEVER,MO,36769.56813328971,8727.331590398822
317 - BACK PAIN,NV,15538.957690464058,12399.332175388434
313 - CHEST PAIN,AK,17133.54796486419,8180.369347691195
313 - CHEST PAIN,NY,34464.68211209397,6024.068054536594
315 - HEADACHE,IA,22553.871745109613,6917.672757823448
314 - ABDOMINAL PAIN,AK,13754.658636496008,3933.8815756459912
317 - BACK PAIN,NJ,37925.58194543668,8968.573732911316
316 - FEVER,KS,11936.638595135038,4777.331098668275
314 - ABDOMINAL PAIN,IL,43503.9648865226,12738.564076016795
316 - FEVER,RI,28160.12858233224,8047.08688988273
315 - HEADACHE,NH,9756.527174568531,12180.027887900676
315 - HEADACHE,MA,36233.255008894295,14453.525130463602
313 - CHEST PAIN,SD,28362.336780854323,13193.735396558832
317 - BACK PAIN,MO,18412.590730766427,14417.564156949837
316 - FEVER,MI,24014.272110073467,9815.238322448764
314 - ABDOMINAL PAIN,HI,18425.198461437445,4983.893207766502
315 - HEADACHE,WV,16836.162608425282,14224.751450204407
313 - CHEST PAIN,IA,12362.378937967049,13422.052687161251
313 - CHEST PAIN,RI,21324.520991186415,13372.955892803142
316 - FEVER,ME,16294.424284223183,11319.293128904621
315 - HEADACHE,MO,35754.55191742627,10498.995146232952
317 - BACK PAIN,IA,35774.453352348784,3176.6867023359778
315 - HEADACHE,OK,27582.810915003727,11976.648829057394
316 - FEVER,IL,40007.50373616445,4098.421409793669
316 - FEVER,MN,42860.28735527217,6117.01123323091
315 - HEADACHE,CT,31089.49058454229,9617.883544216042
316 - FEVER,PA,32852.08232435452,8420.7910185125
315 - HEADACHE,WA,17729.865940386433,3189.2926772573514
314 - ABDOMINAL PAIN,PA,45269.11403174839,12887.820701420547
315 - HEADACHE,MN,6089.271999013842,13545.611497031117
315 - HEADACHE,IA,20687.111124928055,11182.475321961203
316 - FEVER,KY,37481.01896974352,9492.814303881869
316 - FEVER,PA,8604.027935202255,14528.854066793656
313 - CHEST PAIN,MT,13242.628734273168,4439.474492978303
313 - CHEST PAIN,NC,31517.857753828303,11854.920643979869
314 - ABDOMINAL PAIN,OH,30199.715215860106,4540.327354742374
313 - CHEST PAIN,WA,38251.77332589297,7582.137587080989
315 - HEADACHE,PA,41567.56875896773,10025.814110051746
316 - FEVER,MA,10786.081033025112,11845.052286052227
313 - CHEST PAIN,ME,5827.144539885892,3044.593203263808
313 - CHEST PAIN,SC,36033.733384650775,6127.174636461314
314 - ABDOMINAL PAIN,AZ,18562.630809486167,9458.404696917845
314 - ABDOMINAL PAIN,MS,33169.276126307916,9394.484149938084
315 - HEADACHE,NC,11774.506462800113,10651.517219355168
316 - FEVER,WA,26106.80209996833,6646.242970418669
314 - ABDOMINAL PAIN,KY,27699.11357285466,9486.35101306723
313 - CHEST PAIN,CO,31328.501736794726,5277.441329214917
316 - FEVER,CA,28092.650734875395,5242.466572841466
316 - FEVER,MI,27306.084660292127,9918.767561071283
313 - CHEST PAIN,TN,19973.036929273498,11225.671020544092
314 - ABDOMINAL PAIN,IA,8203.11063431388,4444.799600175455
313 - CHEST PAIN,SD,9028.408855857904,4473.47882285068
316 - FEVER,NY,24520.022348321916,9783.632297525404
317 - BACK PAIN,IA,21010.690751944687,6241.149027403747
317 - BACK PAIN,CT,28226.0662103524,7708.789226893373
315 - HEADACHE,IL,18717.717616532012,7808.981371770935
313 - CHEST PAIN,KY,35955.9541154896,5142.634311418997
313 - CHEST PAIN,LA,43877.96699042797,3015.7756011675174
315 - HEADACHE,WA,18448.843495409048,13237.821719628088
315 - HEADACHE,MS,13684.280357256286,11580.02362677226
315 - HEADACHE,IA,10228.12584143401,11286.462697386787
316 - FEVER,DE,32731.43182568656,9558.061657359836
313 - CHEST PAIN,WV,24973.519601325625,11411.635854937445
316 - FEVER,NC,13460.707273833003,14228.26053057151
315 - HEADACHE,KS,34391.15299813349,10988.084834751495
313 - CHEST PAIN,VA,11681.743235237798,6181.096823129399
316 - FEVER,LA,29943.531763157865,9846.720620890776
316 - FEVER,TX,28721.67717313691,8307.892840394521
315 - HEADACHE,WI,38040.25105337375,9677.029573345793
313 - CHEST PAIN,VA,7479.933797330004,9211.3257289539
315 - HEADACHE,OK,44954.28193330987,13305.30342274158
313 - CHEST PAIN,CO,36634.62767660688,10821.601240572805
317 - BACK PAIN,WA,14725.669925694301,5265.101735209248
314 - ABDOMINAL PAIN,NV,13253.240687438285,3756.20134650445
314 - ABDOMINAL PAIN,MS,24424.709636470252,8092.365464176163
314 - ABDOMINAL PAIN,TN,41790.43982950686,3187.327467092751
315 - HEADACHE,IA,42932.74969125982,6819.568630000028
317 - BACK PAIN,KS,28420.524146272237,7416.257633270708
313 - CHEST PAIN,VT,43736.488820903185,7507.066488119087
316 - FEVER,OH,5244.966913626075,14752.200291886713
313 - CHEST PAIN,NY,6582.858418921847,6646.810523669619
316 - FEVER,OR,46031.971713653424,6182.729944543455
313 - CHEST PAIN,LA,39889.93684486622,4552.571172810494
317 - BACK PAIN,NH,25281.772621267355,9132.106028191352
316 - FEVER,MD,38912.455916509425,4844.091674563448
315 - HEADACHE,WV,48003.77577755397,10395.536552769414
313 - CHEST PAIN,MS,39744.02857465783,4861.917347260194
313 - CHEST PAIN,NC,42906.71002182449,9920.079813110413
316 - FEVER,TN,39227.29616255278,12915.230870095515
315 - HEADACHE,IN,12569.49915950937,3510.295602229112
315 - HEADACHE,MA,42510.834934058155,8036.963699018471
317 - BACK PAIN,OR,13779.896901089453,8532.587606626026
315 - HEADACHE,CO,45167.509761986614,12492.86572173735
315 - HEADACHE,GA,25639.245413648416,8614.98758334653
315 - HEADACHE,NJ,35463.95385399628,9810.429437475843
314 - ABDOMINAL PAIN,CT,27375.838154628957,12494.451043056853
317 - BACK PAIN,MT,9229.59182374709,9717.101915151488
313 - CHEST PAIN,NY,18082.50384292993,7299.592962234989
316 - FEVER,MN,49267.93342986527,4030.1073314469872
313 - CHEST PAIN,AK,48232.16382514178,11758.987554150932
317 - BACK PAIN,WA,19421.910394499628,13453.657801945861
316 - FEVER,CO,49833.356191035164,14640.774444241968
317 - BACK PAIN,NV,43049.80379736048,14119.198569258819
315 - HEADACHE,MT,32493.177474451462,12569.014905998984
316 - FEVER,FL,6805.607911745427,10721.66318694874
315 - HEADACHE,AL,45565.10732922708,12377.52174996766
313 - CHEST PAIN,MA,30084.317566894388,8185.004554224815
313 - CHEST PAIN,VA,44081.42680412463,10137.314577490019
316 - FEVER,MS,42549.3103957584,7184.397709670222
316 - FEVER,NC,42485.27968404887,6920.510579764593
317 - BACK PAIN,ID,36417.82373217073,12080.301279312405
317 - BACK PAIN,SD,18113.681240422186,8447.19338764274
315 - HEADACHE,WI,20127.211598503396,5545.93515517235
316 - FEVER,MO,18881.114566220887,5423.25794330239
313 - CHEST PAIN,ID,5902.069978965412,13310.068338839203
317 - BACK PAIN,NJ,31215.600914666502,11133.125932352053
317 - BACK PAIN,NE,36447.51517007148,9552.55288029739
313 - CHEST PAIN,KY,43423.96970863416,7811.264831956313
317 - BACK PAIN,OR,11307.444502222865,8169.808689445509
315 - HEADACHE,MA,29488.24170395608,3689.2223303393257
316 - FEVER,WV,5360.366330320228,8458.921738414112
313 - CHEST PAIN,AZ,9279.214146982828,12545.458927464982
316 - FEVER,AL,7439.528489269687,7655.837761143868
317 - BACK PAIN,WI,37646.51153069691,7602.975030519095
317 - BACK PAIN,AL,8647.680374492142,3188.5989962314534
313 - CHEST PAIN,LA,37240.38417014555,8494.023150696823
315 - HEADACHE,AK,16233.111698476252,3304.0518353756024
314 - ABDOMINAL PAIN,NJ,44497.083231362274,9844.193136105132
313 - CHEST PAIN,MA,41591.74947637164,9081.400578987768
314 - ABDOMINAL PAIN,CT,48102.359786387446,13080.101987087986
314 - ABDOMINAL PAIN,FL,44769.29069561144,9981.367331108653
315 - HEADACHE,NJ,46999.82386023563,6881.1282638665825
314 - ABDOMINAL PAIN,WY,43643.40784309885,9194.77211300297
314 - ABDOMINAL PAIN,OH,36202.185527668495,11396.476268999026
315 - HEADACHE,AZ,12661.66184564462,4127.565544924593
314 - ABDOMINAL PAIN,OR,17226.838348434183,10452.889061645204
314 - ABDOMINAL PAIN,CO,14572.713475862289,13999.51538373575
314 - ABDOMINAL PAIN,NV,32161.36044461925,6589.563547574933
313 - CHEST PAIN,VA,27662.89720881206,10519.501138516947
313 - CHEST PAIN,IL,44018.59987212907,12855.953404202923
313 - CHEST PAIN,MA,47870.27899245841,9141.67676926349
315 - HEADACHE,WA,23218.695032816497,11615.754408244618
317 - BACK PAIN,MA,27785.774897636555,6732.124061871121
314 - ABDOMINAL PAIN,GA,48718.236056186266,6672.701435101737
314 - ABDOMINAL PAIN,SD,17430.75237304146,11011.008261582729
315 - HEADACHE,CA,40657.58489114662,11464.906487681807
314 - ABDOMINAL PAIN,MD,15135.795605086081,14244.116394145725
313 - CHEST PAIN,SC,35665.705194137234,5698.062896615695
317 - BACK PAIN,NV,16412.703243735385,8618.61115305563
316 - FEVER,WA,44768.00249741241,6006.1616779666965
314 - ABDOMINAL PAIN,VT,30266.507468150456,3961.1059305629446
313 - CHEST PAIN,IN,13367.013839347306,7838.766335369853
316 - FEVER,IN,15096.61290643187,7488.96896745844
317 - BACK PAIN,MN,27223.21380686451,6245.209439786255
316 - FEVER,NH,48272.09115086955,6563.938693672997
313 - CHEST PAIN,WI,39633.89737476445,7324.941676215338
316 - FEVER,WA,26973.93392716303,14866.051593361122
315 - HEADACHE,MN,20197.36150529977,12395.49319160736
316 - FEVER,VT,29717.082200679917,3856.8144130428836
314 - ABDOMINAL PAIN,MD,38676.237504287885,13468.958117840422
314 - ABDOMINAL PAIN,FL,40276.786480376,10599.639916784057
315 - HEADACHE,FL,19607.39591436251,13687.12512146291
313 - CHEST PAIN,UT,37452.16706962448,7100.516245562739
314 - ABDOMINAL PAIN,NE,34600.495101628374,8574.226377740626
317 - BACK PAIN,WY,48160.053139833224,13754.7246876973
314 - ABDOMINAL PAIN,NE,46899.06307286067,6270.877630964178
314 - ABDOMINAL PAIN,MS,40522.069652160964,13986.010514944985
313 - CHEST PAIN,VT,37552.76099847178,12941.99654573123
316 - FEVER,IN,17331.871536692415,14766.69529091152
314 - ABDOMINAL PAIN,NH,43068.436524434,6891.091044196357
315 - HEADACHE,GA,24237.756667101476,5829.038160057401
316 - FEVER,MA,17250.82441277201,6970.402764548738
317 - BACK PAIN,MD,22287.234107905813,14455.797551864824
313 - CHEST PAIN,WY,42617.09705074286,6996.879552635299
317 - BACK PAIN,SD,11688.494701004825,9782.541839486857
316 - FEVER,IL,25527.143350392013,7844.15139103817
316 - FEVER,KS,27156.091753827037,7754.641733781371
316 - FEVER,NY,6648.336391946873,5320.543318548662
317 - BACK PAIN,IA,13808.57132966744,9444.95448957108
316 - FEVER,ID,42203.40928591354,13192.851059606483
317 - BACK PAIN,NE,42384.53248676423,3593.8201626464497
316 - FEVER,UT,18158.67877479116,13670.719123961058
315 - HEADACHE,NV,44370.37555690668,10985.675581647592
316 - FEVER,ID,39730.23225807565,10400.856966898835
317 - BACK PAIN,SC,23805.836770793423,10510.802795087908
314 - ABDOMINAL PAIN,OK,38678.2854982267,6555.238031453633
316 - FEVER,VT,48260.05840376628,7981.734046419452
314 - ABDOMINAL PAIN,MD,25653.637312940697,12591.480070850575
315 - HEADACHE,CT,15729.223052906764,6676.572443235475
313 - CHEST PAIN,WV,47381.74250225701,8640.24251487236
315 - HEADACHE,SC,32168.49298534654,3235.58725665184
316 - FEVER,AZ,9736.932311619137,11802.700235226079
314 - ABDOMINAL PAIN,UT,30770.726713551026,8012.426120143268
314 - ABDOMINAL PAIN,NH,27526.14002517344,9304.305221683244
317 - BACK PAIN,AL,43501.50023340035,4376.271813729104
314 - ABDOMINAL PAIN,OR,28881.28353935846,14900.570745449242
317 - BACK PAIN,TN,16485.459545492755,6629.613923818151
313 - CHEST PAIN,FL,35403.98287391999,10619.875939157404
316 - FEVER,WI,29415.895364101107,9974.836138253584
317 - BACK PAIN,DE,15487.00827200926,12421.106447099884
313 - CHEST PAIN,ID,30813.253607430852,6526.043467463527
314 - ABDOMINAL PAIN,SD,41969.101005035875,12071.128139966846
314 - ABDOMINAL PAIN,CA,6285.69129758047,7590.020768228812
313 - CHEST PAIN,MT,33388.296739030025,7933.9315901561895
314 - ABDOMINAL PAIN,IL,20731.33381029764,11072.550317841242
313 - CHEST PAIN,NE,18170.215059174086,12411.429260885625
317 - BACK PAIN,SC,22666.448766250007,11002.399633446708
317 - BACK PAIN,WV,20391.019891159172,13798.554246853824
313 - CHEST PAIN,IL,42450.759801879874,6421.908354120807
317 - BACK PAIN,VT,17365.901484555525,13807.400785223392
317 - BACK PAIN,RI,37991.88603979634,4570.362311320544
317 - BACK PAIN,WV,9232.691910286492,10914.363828359768
315 - HEADACHE,MO,47812.8367617987,9571.56781656213
316 - FEVER,KY,33004.24867618483,8935.631284987074
314 - ABDOMINAL PAIN,IN,36802.3359670052,6730.944346346139
315 - HEADACHE,MT,18411.769944250293,9044.79294369881
317 - BACK PAIN,CA,23544.345591865156,4941.280276616439
313 - CHEST PAIN,ID,15070.02738219393,7431.8513305401075
317 - BACK PAIN,NC,46964.12386110007,4184.171009806529
316 - FEVER,AZ,26964.700119561996,9862.159197435834
317 - BACK PAIN,DE,33370.16520460955,4149.214634395524
313 - CHEST PAIN,WV,38042.24137388219,4924.135726861989
316 - FEVER,ID,21699.774099479255,4025.6016178497757
317 - BACK PAIN,NH,37404.574454261354,7575.727679424935
316 - FEVER,TX,35419.662039035305,13103.501453020182
314 - ABDOMINAL PAIN,MS,36754.6700243276,13882.756699605932
314 - ABDOMINAL PAIN,WA,27015.34550920758,3862.673455200161
317 - BACK PAIN,MS,22232.18220312277,10614.601690339525
316 - FEVER,CA,14993.698469404542,11212.62509510488
313 - CHEST PAIN,NH,42108.18587604018,9405.23930918429
317 - BACK PAIN,VT,32375.75209392554,11003.818337634551
314 - ABDOMINAL PAIN,WI,24995.848824387274,5804.288585317143
314 - ABDOMINAL PAIN,NE,47479.815801977515,8875.730541828194
317 - BACK PAIN,MT,7152.7465628167465,7690.510188429942
316 - FEVER,NJ,43257.73753422714,4076.4954172755724
314 - ABDOMINAL PAIN,MD,49891.21668256876,10506.677276669867
316 - FEVER,OH,44912.39498972903,8942.582312058556
314 - ABDOMINAL PAIN,PA,41469.64635270314,6302.088322830998
314 - ABDOMINAL PAIN,IA,21843.769703284608,8684.223124840457
315 - HEADACHE,IA,15409.138201803207,12303.576220770035
314 - ABDOMINAL PAIN,OR,38068.27342248205,12619.893153696767
313 - CHEST PAIN,NM,18705.89148298558,10794.31354499243
317 - BACK PAIN,NH,12921.78569697368,8612.974000801965
317 - BACK PAIN,LA,40393.664919661605,9908.995670446177
316 - FEVER,AZ,19064.4643506525,7620.184456267406
314 - ABDOMINAL PAIN,KY,46149.87782693023,4518.676115930859
313 - CHEST PAIN,WV,42828.46901686064,7627.447168633103
316 - FEVER,NM,43143.81482791648,9363.993072835612
315 - HEADACHE,NJ,39720.63767251218,10186.008175807008
316 - FEVER,WA,44639.66406986315,14229.61171265545
316 - FEVER,KS,41258.6101480154,12328.001340367395
314 - ABDOMINAL PAIN,WV,32113.01136086279,4823.910737336128
315 - HEADACHE,MT,18312.022336183843,5090.186479835136
316 - FEVER,SC,44969.41369463671,4205.937110877048
313 - CHEST PAIN,UT,42827.163024793634,11858.180726651013
313 - CHEST PAIN,WI,26279.569499474528,11473.467341902284
317 - BACK PAIN,SC,6758.540870087983,14836.354820362574
315 - HEADACHE,MS,33734.4677330861,9264.281011972183
315 - HEADACHE,MT,7276.858415446178,12916.979146186583
317 - BACK PAIN,UT,46682.598283178326,9917.27830371345
316 - FEVER,DE,48273.40654813882,13489.040550329246
315 - HEADACHE,MN,13527.05656548219,11652.252471633019
313 - CHEST PAIN,LA,35437.522012470945,10714.608179895036
313 - CHEST PAIN,ME,9152.105205324326,9781.472051796605
314 - ABDOMINAL PAIN,AZ,37828.26178579049,11675.646293315698
315 - HEADACHE,TX,20627.944976870356,8035.846112052126
316 - FEVER,HI,35647.25502787004,4158.9189684679695
317 - BACK PAIN,HI,21779.442914098003,3479.83354557409
317 - BACK PAIN,DE,11550.537942495608,8748.284779310086
316 - FEVER,WY,23274.949122615104,10191.498986641696
314 - ABDOMINAL PAIN,CA,10070.30869856555,3946.188366847505
317 - BACK PAIN,SC,30959.74737396256,6442.842586945227
315 - HEADACHE,NV,6842.81894672659,6864.386471705845
